7.077234076536935845e+02	2.000000000000000000e+01
7.077535145072063187e+02	6.000000000000000000e+01
7.077836203031851028e+02	0.000000000000000000e+00
7.078137250414681603e+02	8.000000000000000000e+01
7.078438287218937148e+02	0.000000000000000000e+00
7.078739313443004448e+02	4.000000000000000000e+01
7.079040329085265739e+02	0.000000000000000000e+00
7.079341334144108941e+02	-6.000000000000000000e+01
7.079642328617917428e+02	-2.000000000000000000e+01
7.079943312505076847e+02	6.000000000000000000e+01
7.080244285803971707e+02	0.000000000000000000e+00
7.080545248512987655e+02	-4.000000000000000000e+01
7.080846200630512612e+02	-2.000000000000000000e+01
7.081147142154929952e+02	-2.000000000000000000e+01
7.081448073084626458e+02	-4.000000000000000000e+01
7.081748993417991187e+02	-6.000000000000000000e+01
7.082049903153407513e+02	-4.000000000000000000e+01
7.082350802289263356e+02	8.000000000000000000e+01
7.082651690823947774e+02	-4.000000000000000000e+01
7.082952568755844140e+02	2.000000000000000000e+01
7.083253436083343786e+02	-4.000000000000000000e+01
7.083554292804832357e+02	0.000000000000000000e+00
7.083855138918697776e+02	-2.000000000000000000e+01
7.084155974423329098e+02	0.000000000000000000e+00
7.084456799317114246e+02	-6.000000000000000000e+01
7.084757613598441139e+02	-2.000000000000000000e+01
7.085058417265699973e+02	-6.000000000000000000e+01
7.085359210317277530e+02	-4.000000000000000000e+01
7.085659992751564005e+02	8.000000000000000000e+01
7.085960764566950729e+02	6.000000000000000000e+01
7.086261525761824487e+02	6.000000000000000000e+01
7.086562276334575472e+02	4.000000000000000000e+01
7.086863016283596153e+02	4.000000000000000000e+01
7.087163745607272176e+02	0.000000000000000000e+00
7.087464464304000558e+02	0.000000000000000000e+00
7.087765172372164670e+02	2.000000000000000000e+01
7.088065869810158119e+02	-2.000000000000000000e+01
7.088366556616373373e+02	-2.000000000000000000e+01
7.088667232789201762e+02	6.000000000000000000e+01
7.088967898327033481e+02	6.000000000000000000e+01
7.089268553228259861e+02	0.000000000000000000e+00
7.089569197491273371e+02	-2.000000000000000000e+01
7.089869831114465342e+02	2.000000000000000000e+01
7.090170454096228241e+02	6.000000000000000000e+01
7.090471066434955674e+02	-6.000000000000000000e+01
7.090771668129041245e+02	-2.000000000000000000e+01
7.091072259176875150e+02	-4.000000000000000000e+01
7.091372839576850993e+02	6.000000000000000000e+01
7.091673409327361242e+02	-2.000000000000000000e+01
7.091973968426802912e+02	-4.000000000000000000e+01
7.092274516873566199e+02	4.000000000000000000e+01
7.092575054666049255e+02	-6.000000000000000000e+01
7.092875581802639999e+02	0.000000000000000000e+00
7.093176098281739996e+02	0.000000000000000000e+00
7.093476604101736029e+02	-6.000000000000000000e+01
7.093777099261028525e+02	1.000000000000000000e+02
7.094077583758011087e+02	8.000000000000000000e+01
7.094378057591079596e+02	-2.000000000000000000e+01
7.094678520758627656e+02	4.000000000000000000e+01
7.094978973259051145e+02	0.000000000000000000e+00
7.095279415090745943e+02	2.000000000000000000e+01
7.095579846252109064e+02	-4.000000000000000000e+01
7.095880266741537525e+02	-6.000000000000000000e+01
7.096180676557424931e+02	0.000000000000000000e+00
