Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
738.8	1242	
738.83	1242	
738.859	1246	
738.889	1246	
738.918	1242	
738.947	1258	
738.977	1252	
739.006	1250	
739.035	1246	
739.065	1252	
739.094	1270	
739.124	1266	
739.153	1270	
739.182	1264	
739.212	1262	
739.241	1272	
739.27	1280	
739.3	1284	
739.329	1278	
739.359	1262	
739.388	1302	
739.417	1286	
739.447	1294	
739.476	1298	
739.505	1278	
739.535	1310	
739.564	1288	
739.594	1290	
739.623	1302	
739.652	1300	
739.682	1304	
739.711	1300	
739.74	1286	
739.77	1300	
739.799	1318	
739.828	1314	
739.858	1316	
739.887	1332	
739.916	1332	
739.946	1334	
739.975	1308	
740.004	1318	
740.034	1330	
740.063	1328	
740.092	1330	
740.122	1324	
740.151	1342	
740.181	1346	
740.21	1332	
740.239	1332	
740.269	1352	
740.298	1344	
740.327	1340	
740.357	1332	
740.386	1332	
740.415	1356	
740.445	1340	
740.474	1354	
740.503	1370	
740.532	1364	
740.562	1362	
740.591	1362	
740.62	1368	
740.65	1366	
740.679	1362	
740.708	1380	
740.738	1382	
740.767	1386	
740.796	1378	
740.826	1378	
740.855	1376	
740.884	1380	
740.914	1376	
740.943	1402	
740.972	1390	
741.002	1384	
741.031	1396	
741.06	1370	
741.089	1398	
741.119	1394	
741.148	1398	
741.177	1388	
741.207	1392	
741.236	1410	
741.265	1380	
741.295	1386	
741.324	1400	
741.353	1412	
741.382	1406	
741.412	1398	
741.441	1398	
741.47	1422	
741.5	1426	
741.529	1410	
741.558	1418	
741.587	1416	
741.617	1418	
741.646	1416	
741.675	1426	
741.705	1410	
741.734	1434	
741.763	1448	
741.792	1422	
741.822	1430	
741.851	1432	
741.88	1444	
741.91	1444	
741.939	1452	
741.968	1456	
741.997	1436	
742.027	1438	
742.056	1460	
742.085	1454	
742.114	1470	
742.144	1480	
742.173	1472	
742.202	1474	
742.231	1464	
742.261	1488	
742.29	1482	
742.319	1484	
742.348	1500	
742.378	1514	
742.407	1482	
742.436	1504	
742.465	1500	
742.495	1504	
742.524	1526	
742.553	1530	
742.582	1534	
742.612	1546	
742.641	1552	
742.67	1564	
742.699	1548	
742.729	1558	
742.758	1560	
742.787	1590	
742.816	1596	
742.846	1614	
742.875	1592	
742.904	1610	
742.933	1612	
742.963	1614	
742.992	1648	
743.021	1650	
743.05	1660	
743.079	1650	
743.109	1692	
743.138	1686	
743.167	1714	
743.196	1710	
743.226	1734	
743.255	1736	
743.284	1776	
743.313	1780	
743.342	1788	
743.372	1788	
743.401	1818	
743.43	1822	
743.459	1828	
743.488	1866	
743.518	1868	
743.547	1920	
743.576	1904	
743.605	1916	
743.634	1920	
743.664	1958	
743.693	2014	
743.722	2010	
743.751	2018	
743.78	2050	
743.81	2030	
743.839	2086	
743.868	2096	
743.897	2150	
743.926	2140	
743.956	2172	
743.985	2212	
744.014	2232	
744.043	2262	
744.072	2292	
744.102	2292	
744.131	2350	
744.16	2374	
744.189	2384	
744.218	2454	
744.247	2464	
744.277	2520	
744.306	2526	
744.335	2526	
744.364	2592	
744.393	2600	
744.423	2686	
744.452	2696	
744.481	2714	
744.51	2750	
744.539	2832	
744.568	2832	
744.598	2852	
744.627	2922	
744.656	2966	
744.685	3002	
744.714	3032	
744.743	3044	
744.773	3084	
744.802	3136	
744.831	3214	
744.86	3218	
744.889	3236	
744.918	3334	
744.947	3318	
744.977	3338	
745.006	3440	
745.035	3486	
745.064	3548	
745.093	3564	
745.122	3596	
745.151	3716	
745.181	3784	
745.21	3790	
745.239	3826	
745.268	3906	
745.297	3962	
745.326	3954	
745.355	4030	
745.385	4084	
745.414	4152	
745.443	4190	
745.472	4258	
745.501	4332	
745.53	4366	
745.559	4450	
745.588	4446	
745.618	4562	
745.647	4602	
745.676	4728	
745.705	4706	
745.734	4798	
745.763	4818	
745.792	4930	
745.821	4950	
745.851	4960	
745.88	5090	
745.909	5174	
745.938	5218	
745.967	5260	
745.996	5384	
746.025	5408	
746.054	5492	
