Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
701.454	3890	
701.484	3904	
701.514	3866	
701.544	3902	
701.574	3904	
701.604	3894	
701.634	3922	
701.664	3848	
701.694	3878	
701.724	3896	
701.754	3886	
701.784	3922	
701.814	3934	
701.844	3906	
701.873	3902	
701.903	3932	
701.933	3912	
701.963	3952	
701.993	3872	
702.023	3918	
702.053	3958	
702.083	3880	
702.113	3928	
702.143	3898	
702.173	3914	
702.203	3972	
702.232	3932	
702.262	3918	
702.292	3920	
702.322	3910	
702.352	3942	
702.382	3972	
702.412	3898	
702.442	3900	
702.472	3904	
702.502	3924	
702.531	3948	
702.561	3892	
702.591	3946	
702.621	3876	
702.651	3892	
702.681	3882	
702.711	3952	
702.741	3926	
702.771	3900	
702.8	3918	
702.83	3922	
702.86	3932	
702.89	3872	
702.92	3878	
702.95	3912	
702.98	3910	
703.01	3902	
703.039	3908	
703.069	3866	
703.099	3888	
703.129	3922	
703.159	3902	
703.189	3960	
703.219	3892	
703.249	3908	
703.278	3918	
703.308	3928	
703.338	3914	
703.368	3892	
703.398	3820	
703.428	3914	
703.458	3888	
703.487	3894	
703.517	3888	
703.547	3948	
703.577	3912	
703.607	3866	
703.637	3916	
703.667	3868	
703.696	3824	
703.726	3892	
703.756	3916	
703.786	3864	
703.816	3916	
703.846	3898	
703.876	3918	
703.905	3878	
703.935	3910	
703.965	3930	
703.995	3902	
704.025	3894	
704.055	3872	
704.084	3870	
704.114	3910	
704.144	3910	
704.174	3856	
704.204	3902	
704.234	3942	
704.263	3922	
704.293	3992	
704.323	3936	
704.353	3904	
704.383	3882	
704.413	3882	
704.442	3884	
704.472	3880	
704.502	3904	
704.532	3876	
704.562	3932	
704.592	3888	
704.621	3920	
704.651	3938	
704.681	3918	
704.711	3962	
704.741	3912	
704.77	3912	
704.8	3922	
704.83	3948	
704.86	3980	
704.89	3906	
704.919	3898	
704.949	3954	
704.979	3910	
705.009	3928	
705.039	3914	
705.068	3904	
705.098	3962	
705.128	3948	
705.158	3922	
705.188	3942	
705.217	3926	
705.247	3908	
705.277	3950	
705.307	3956	
705.337	3920	
705.366	3958	
705.396	3908	
705.426	3910	
705.456	3934	
705.486	3898	
705.515	3848	
705.545	3880	
705.575	3930	
705.605	3894	
705.634	3878	
705.664	3898	
705.694	3916	
705.724	3850	
705.754	3896	
705.783	3878	
705.813	3914	
705.843	3902	
705.873	3914	
705.902	3966	
705.932	3888	
705.962	3948	
705.992	3936	
706.021	3914	
706.051	3912	
706.081	3854	
706.111	3914	
706.141	3914	
706.17	3900	
706.2	3908	
706.23	3934	
706.26	3900	
706.289	3826	
706.319	3914	
706.349	3924	
706.379	3902	
706.408	3900	
706.438	3884	
706.468	3922	
706.498	3870	
706.527	3902	
706.557	3878	
706.587	3932	
706.617	3890	
706.646	3908	
706.676	3898	
706.706	3872	
706.735	3924	
706.765	3882	
