Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
811.426	1138	
811.455	1134	
811.483	1140	
811.512	1130	
811.54	1140	
811.569	1134	
811.597	1142	
811.626	1136	
811.654	1124	
811.683	1128	
811.711	1124	
811.74	1138	
811.769	1134	
811.797	1136	
811.826	1122	
811.854	1124	
811.883	1126	
811.911	1134	
811.94	1132	
811.968	1122	
811.997	1122	
812.025	1120	
812.054	1124	
812.082	1124	
812.111	1122	
812.139	1120	
812.168	1114	
812.196	1120	
812.225	1124	
812.253	1122	
812.282	1126	
812.31	1118	
812.339	1128	
812.367	1124	
812.396	1128	
812.424	1122	
812.453	1128	
812.481	1122	
812.51	1114	
812.538	1124	
812.567	1112	
812.595	1120	
812.624	1106	
812.652	1098	
812.681	1098	
812.709	1104	
812.738	1110	
812.766	1102	
812.795	1102	
812.823	1100	
812.852	1102	
812.88	1098	
812.909	1102	
812.937	1096	
812.966	1102	
812.994	1104	
813.023	1090	
813.051	1094	
813.08	1098	
813.108	1104	
813.137	1104	
813.165	1108	
813.193	1106	
813.222	1098	
813.25	1090	
813.279	1102	
813.307	1102	
813.336	1100	
813.364	1098	
813.393	1094	
813.421	1096	
813.45	1096	
813.478	1092	
813.507	1094	
813.535	1098	
813.563	1100	
813.592	1098	
813.62	1102	
813.649	1098	
813.677	1102	
813.706	1090	
813.734	1106	
813.763	1104	
813.791	1106	
813.82	1104	
813.848	1094	
813.876	1104	
813.905	1102	
813.933	1118	
813.962	1110	
813.99	1102	
814.019	1100	
814.047	1092	
814.075	1104	
814.104	1084	
814.132	1100	
814.161	1100	
814.189	1104	
814.218	1080	
814.246	1098	
814.274	1094	
814.303	1100	
814.331	1094	
814.36	1090	
814.388	1094	
814.417	1100	
814.445	1088	
814.473	1088	
814.502	1084	
814.53	1094	
814.559	1086	
814.587	1080	
814.616	1096	
814.644	1090	
814.672	1086	
814.701	1086	
814.729	1088	
814.758	1084	
814.786	1090	
814.814	1082	
814.843	1090	
814.871	1086	
814.9	1090	
814.928	1090	
814.956	1090	
814.985	1086	
815.013	1078	
815.042	1084	
815.07	1086	
815.098	1082	
815.127	1080	
815.155	1082	
815.184	1072	
815.212	1084	
815.24	1086	
815.269	1076	
815.297	1082	
815.325	1080	
815.354	1080	
815.382	1090	
815.411	1082	
815.439	1080	
815.467	1072	
815.496	1086	
815.524	1072	
815.552	1076	
815.581	1078	
815.609	1070	
815.638	1080	
815.666	1072	
815.694	1074	
815.723	1070	
815.751	1068	
815.779	1084	
815.808	1076	
815.836	1084	
815.865	1070	
815.893	1078	
815.921	1074	
815.95	1068	
815.978	1074	
816.006	1070	
816.035	1070	
816.063	1072	
816.091	1072	
816.12	1074	
816.148	1068	
816.176	1074	
816.205	1068	
816.233	1066	
816.261	1066	
816.29	1068	
816.318	1068	
816.347	1062	
816.375	1072	
816.403	1064	
816.432	1060	
816.46	1062	
816.488	1064	
816.517	1056	
816.545	1066	
816.573	1062	
816.602	1060	
816.63	1056	
816.658	1054	
816.687	1058	
816.715	1066	
816.743	1054	
816.771	1058	
816.8	1058	
816.828	1058	
816.856	1056	
816.885	1050	
816.913	1054	
816.941	1054	
816.97	1052	
816.998	1064	
817.026	1064	
817.055	1046	
817.083	1060	
817.111	1058	
817.14	1058	
817.168	1060	
817.196	1056	
817.225	1056	
817.253	1064	
817.281	1056	
817.309	1072	
817.338	1058	
817.366	1060	
817.394	1062	
817.423	1058	
817.451	1054	
817.479	1060	
817.508	1060	
817.536	1072	
817.564	1060	
817.592	1066	
817.621	1058	
817.649	1056	
817.677	1058	
817.706	1058	
817.734	1064	
817.762	1056	
817.79	1056	
817.819	1054	
817.847	1052	
817.875	1052	
817.904	1044	
817.932	1048	
817.96	1064	
817.988	1056	
818.017	1048	
818.045	1056	
818.073	1058	
818.101	1054	
818.13	1054	
818.158	1050	
818.186	1060	
818.214	1064	
818.243	1054	
818.271	1060	
818.299	1058	
818.328	1054	
818.356	1056	
818.384	1056	
818.412	1054	
818.441	1048	
818.469	1056	
818.497	1060	
818.525	1052	
818.554	1058	
818.582	1056	
818.61	1054	
818.638	1048	
818.667	1056	
818.695	1056	
818.723	1050	
818.751	1048	
818.78	1050	
818.808	1052	
818.836	1042	
818.864	1044	
818.892	1044	
818.921	1038	
818.949	1040	
818.977	1042	
819.005	1044	
819.034	1042	
819.062	1046	
819.09	1048	
819.118	1040	
819.147	1046	
819.175	1046	
819.203	1052	
819.231	1048	
819.259	1042	
819.288	1050	
819.316	1052	
819.344	1046	
819.372	1044	
819.401	1048	
819.429	1046	
819.457	1044	
819.485	1048	
819.513	1048	
819.542	1048	
819.57	1034	
819.598	1048	
819.626	1036	
819.654	1034	
819.683	1040	
819.711	1042	
819.739	1044	
819.767	1040	
819.795	1038	
819.824	1040	
819.852	1046	
819.88	1042	
