Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
872.496	1028	
872.524	1026	
872.551	1022	
872.579	1022	
872.606	1022	
872.634	1024	
872.661	1032	
872.689	1024	
872.716	1028	
872.744	1026	
872.771	1022	
872.799	1014	
872.826	1022	
872.854	1034	
872.881	1028	
872.909	1016	
872.936	1024	
872.964	1026	
872.991	1030	
873.019	1022	
873.046	1014	
873.074	1022	
873.101	1016	
873.129	1024	
873.156	1026	
873.184	1026	
873.211	1022	
873.239	1030	
873.266	1018	
873.294	1026	
873.321	1030	
873.349	1016	
873.376	1018	
873.404	1026	
873.431	1028	
873.459	1024	
873.486	1018	
873.514	1024	
873.541	1024	
873.569	1022	
873.596	1024	
873.624	1022	
873.651	1024	
873.679	1024	
873.706	1024	
873.733	1020	
873.761	1024	
873.788	1022	
873.816	1024	
873.843	1020	
873.871	1032	
873.898	1034	
873.926	1030	
873.953	1028	
873.981	1022	
874.008	1028	
874.035	1026	
874.063	1026	
874.09	1024	
874.118	1026	
874.145	1018	
874.173	1024	
874.2	1026	
874.228	1028	
874.255	1030	
874.283	1024	
874.31	1028	
874.337	1030	
874.365	1028	
874.392	1028	
874.42	1030	
874.447	1028	
874.475	1028	
874.502	1026	
874.529	1032	
874.557	1022	
874.584	1022	
874.612	1022	
874.639	1022	
874.667	1034	
874.694	1024	
874.721	1032	
874.749	1022	
874.776	1026	
874.804	1024	
874.831	1028	
874.859	1028	
874.886	1026	
874.913	1020	
874.941	1026	
874.968	1024	
874.996	1024	
875.023	1028	
875.05	1016	
875.078	1028	
875.105	1026	
875.133	1022	
875.16	1020	
875.187	1020	
875.215	1024	
875.242	1030	
875.27	1024	
875.297	1020	
875.324	1022	
875.352	1022	
875.379	1030	
875.407	1022	
875.434	1022	
875.461	1018	
875.489	1026	
875.516	1034	
875.544	1024	
875.571	1030	
875.598	1020	
875.626	1030	
875.653	1018	
875.68	1020	
875.708	1032	
875.735	1028	
875.763	1026	
875.79	1026	
875.817	1024	
875.845	1020	
875.872	1030	
875.899	1032	
875.927	1036	
875.954	1034	
875.982	1026	
876.009	1024	
876.036	1034	
876.064	1024	
876.091	1026	
876.118	1034	
876.146	1032	
876.173	1028	
876.2	1024	
876.228	1026	
876.255	1024	
876.283	1026	
876.31	1028	
876.337	1022	
876.365	1024	
876.392	1028	
876.419	1032	
876.447	1028	
876.474	1030	
876.501	1036	
876.529	1030	
876.556	1028	
876.583	1032	
876.611	1032	
876.638	1034	
876.665	1034	
876.693	1032	
876.72	1032	
876.747	1028	
876.775	1040	
876.802	1046	
876.829	1046	
876.857	1046	
876.884	1042	
876.911	1044	
876.939	1038	
876.966	1036	
876.993	1046	
877.021	1038	
877.048	1046	
877.075	1032	
877.103	1038	
877.13	1044	
877.157	1030	
877.184	1038	
877.212	1032	
877.239	1040	
877.266	1030	
877.294	1034	
877.321	1036	
877.348	1030	
877.376	1026	
877.403	1026	
877.43	1030	
877.458	1018	
877.485	1034	
877.512	1024	
877.539	1022	
877.567	1032	
877.594	1030	
877.621	1028	
877.649	1024	
877.676	1028	
877.703	1034	
877.731	1030	
877.758	1024	
877.785	1032	
877.812	1030	
877.84	1026	
877.867	1022	
877.894	1030	
877.922	1032	
877.949	1018	
877.976	1038	
878.003	1024	
878.031	1024	
878.058	1024	
878.085	1032	
878.112	1030	
878.14	1022	
878.167	1024	
878.194	1026	
878.222	1022	
878.249	1022	
878.276	1036	
878.303	1036	
878.331	1028	
878.358	1024	
878.385	1026	
878.412	1030	
878.44	1026	
878.467	1030	
878.494	1024	
878.521	1030	
878.549	1032	
878.576	1030	
878.603	1030	
878.63	1022	
878.658	1022	
878.685	1022	
878.712	1024	
878.739	1026	
878.767	1036	
878.794	1026	
878.821	1026	
878.848	1020	
878.876	1028	
878.903	1026	
878.93	1036	
878.957	1030	
878.984	1022	
879.012	1028	
879.039	1026	
879.066	1032	
879.093	1032	
879.121	1028	
879.148	1024	
879.175	1032	
879.202	1026	
879.23	1026	
879.257	1024	
879.284	1026	
879.311	1028	
879.338	1022	
879.366	1032	
879.393	1022	
879.42	1028	
879.447	1030	
879.474	1028	
879.502	1024	
879.529	1038	
879.556	1032	
879.583	1032	
879.611	1026	
879.638	1032	
879.665	1040	
879.692	1030	
879.719	1032	
879.747	1030	
879.774	1022	
879.801	1030	
879.828	1022	
879.855	1028	
879.883	1026	
879.91	1030	
879.937	1024	
879.964	1028	
879.991	1020	
880.018	1038	
880.046	1022	
880.073	1030	
880.1	1030	
880.127	1028	
880.154	1024	
880.182	1026	
880.209	1030	
880.236	1028	
880.263	1026	
880.29	1026	
880.317	1028	
880.345	1028	
880.372	1024	
880.399	1022	
880.426	1034	
880.453	1028	
880.48	1030	
880.508	1024	
880.535	1026	
880.562	1038	
880.589	1028	
880.616	1028	
880.643	1026	
880.671	1032	
880.698	1034	
880.725	1026	
880.752	1028	
880.779	1036	
880.806	1026	
880.833	1032	
880.861	1030	
880.888	1030	
880.915	1032	
880.942	1038	
880.969	1024	
880.996	1030	
881.023	1026	
881.051	1028	
881.078	1030	
881.105	1024	
881.132	1028	
881.159	1028	
881.186	1030	
881.213	1024	
881.241	1030	
881.268	1026	
881.295	1024	
881.322	1026	
881.349	1034	
881.376	1028	
881.403	1026	
881.43	1032	
881.458	1030	
881.485	1030	
881.512	1028	
881.539	1030	
881.566	1028	
881.593	1026	
881.62	1022	
881.647	1032	
881.674	1030	
881.702	1022	
881.729	1028	
881.756	1028	
881.783	1028	
881.81	1024	
881.837	1026	
881.864	1026	
881.891	1028	
881.918	1022	
881.946	1022	
881.973	1028	
882	1030	
882.027	1036	
882.054	1030	
882.081	1034	
882.108	1028	
882.135	1032	
882.162	1028	
882.189	1032	
882.216	1026	
882.244	1034	
882.271	1030	
882.298	1032	
882.325	1028	
882.352	1028	
882.379	1030	
882.406	1028	
882.433	1026	
882.46	1026	
882.487	1034	
882.514	1028	
882.541	1030	
882.568	1022	
882.596	1026	
882.623	1034	
882.65	1030	
882.677	1028	
882.704	1034	
882.731	1022	
882.758	1030	
882.785	1034	
882.812	1036	
882.839	1032	
882.866	1028	
882.893	1024	
882.92	1028	
882.947	1034	
882.974	1034	
883.001	1024	
883.028	1028	
883.056	1028	
883.083	1026	
883.11	1030	
883.137	1032	
883.164	1038	
883.191	1030	
883.218	1034	
883.245	1028	
883.272	1034	
883.299	1024	
883.326	1024	
883.353	1030	
883.38	1024	
883.407	1030	
883.434	1032	
883.461	1032	
883.488	1026	
883.515	1036	
883.542	1030	
883.569	1026	
883.596	1040	
883.623	1034	
883.65	1030	
883.677	1032	
883.704	1024	
883.731	1032	
883.758	1030	
883.785	1034	
883.812	1034	
883.839	1028	
883.866	1032	
883.893	1038	
883.92	1030	
883.947	1034	
883.974	1036	
884.001	1032	
884.028	1030	
884.055	1036	
884.082	1036	
884.109	1038	
884.136	1036	
884.163	1044	
884.19	1032	
884.217	1034	
884.244	1036	
884.271	1032	
884.298	1036	
884.325	1028	
884.352	1032	
884.379	1032	
884.406	1038	
884.433	1034	
884.46	1028	
884.487	1032	
884.514	1028	
884.541	1028	
884.568	1038	
884.595	1034	
884.622	1032	
884.649	1032	
884.676	1026	
884.703	1028	
884.73	1036	
884.757	1028	
884.784	1030	
884.811	1036	
884.838	1022	
884.865	1024	
884.892	1036	
884.919	1036	
884.946	1036	
884.973	1028	
885	1032	
885.027	1038	
885.054	1026	
885.081	1032	
885.107	1040	
885.134	1028	
885.161	1028	
885.188	1036	
885.215	1032	
885.242	1040	
885.269	1038	
885.296	1034	
885.323	1036	
885.35	1038	
885.377	1034	
885.404	1036	
885.431	1030	
885.458	1040	
885.485	1034	
885.512	1032	
885.539	1038	
885.565	1036	
885.592	1028	
885.619	1032	
885.646	1030	
885.673	1036	
885.7	1032	
885.727	1032	
885.754	1032	
885.781	1036	
885.808	1030	
885.835	1034	
885.862	1032	
885.889	1032	
885.915	1034	
885.942	1022	
885.969	1026	
885.996	1028	
886.023	1030	
886.05	1032	
886.077	1034	
886.104	1026	
886.131	1030	
886.158	1024	
886.185	1032	
886.211	1028	
886.238	1038	
886.265	1030	
886.292	1032	
886.319	1028	
886.346	1032	
886.373	1032	
886.4	1028	
886.427	1032	
886.454	1026	
886.48	1030	
886.507	1032	
886.534	1034	
886.561	1032	
886.588	1032	
886.615	1038	
886.642	1032	
886.669	1034	
886.695	1024	
886.722	1030	
886.749	1030	
886.776	1034	
886.803	1032	
886.83	1026	
886.857	1034	
886.884	1026	
886.91	1034	
886.937	1032	
886.964	1026	
886.991	1034	
887.018	1032	
887.045	1036	
887.072	1032	
887.099	1032	
887.125	1034	
887.152	1028	
887.179	1024	
887.206	1030	
887.233	1032	
887.26	1036	
887.286	1032	
887.313	1034	
887.34	1038	
887.367	1034	
887.394	1032	
887.421	1032	
887.448	1032	
887.474	1030	
887.501	1032	
887.528	1032	
887.555	1044	
887.582	1026	
887.609	1026	
887.635	1032	
887.662	1034	
887.689	1032	
887.716	1030	
887.743	1030	
887.77	1038	
887.796	1036	
887.823	1030	
887.85	1030	
887.877	1030	
887.904	1036	
887.931	1030	
887.957	1036	
887.984	1034	
888.011	1038	
888.038	1036	
888.065	1030	
888.091	1038	
888.118	1028	
888.145	1032	
888.172	1036	
888.199	1024	
888.225	1032	
888.252	1032	
888.279	1032	
888.306	1034	
888.333	1026	
888.359	1034	
888.386	1028	
888.413	1030	
888.44	1032	
888.467	1028	
888.493	1026	
888.52	1028	
888.547	1032	
888.574	1042	
888.601	1032	
888.627	1034	
888.654	1036	
888.681	1030	
888.708	1032	
888.735	1040	
888.761	1034	
888.788	1032	
888.815	1034	
888.842	1028	
888.868	1028	
888.895	1036	
888.922	1032	
888.949	1036	
888.976	1028	
889.002	1028	
889.029	1038	
889.056	1026	
889.083	1032	
889.109	1036	
889.136	1036	
889.163	1026	
889.19	1024	
889.216	1028	
889.243	1028	
889.27	1028	
889.297	1034	
889.323	1040	
889.35	1034	
889.377	1038	
889.404	1034	
889.43	1026	
889.457	1034	
889.484	1036	
889.511	1032	
889.537	1036	
889.564	1030	
889.591	1034	
889.618	1036	
889.644	1036	
889.671	1036	
889.698	1034	
889.725	1034	
889.751	1036	
889.778	1034	
889.805	1034	
889.832	1040	
889.858	1032	
889.885	1038	
889.912	1032	
889.938	1040	
889.965	1032	
889.992	1030	
890.019	1026	
890.045	1036	
890.072	1030	
890.099	1028	
890.125	1036	
890.152	1032	
890.179	1034	
890.206	1030	
890.232	1032	
890.259	1030	
890.286	1030	
890.312	1026	
890.339	1034	
890.366	1030	
890.393	1038	
890.419	1032	
890.446	1030	
890.473	1026	
890.499	1030	
890.526	1032	
890.553	1034	
890.579	1036	
890.606	1032	
890.633	1032	
890.659	1030	
890.686	1034	
890.713	1036	
890.74	1032	
890.766	1034	
890.793	1038	
890.82	1030	
890.846	1032	
890.873	1030	
890.9	1028	
890.926	1038	
890.953	1034	
890.98	1032	
891.006	1034	
891.033	1042	
891.06	1030	
891.086	1030	
891.113	1034	
891.14	1032	
891.166	1030	
891.193	1034	
891.22	1030	
891.246	1024	
891.273	1030	
891.3	1032	
891.326	1036	
891.353	1032	
891.38	1030	
891.406	1032	
891.433	1030	
891.46	1026	
891.486	1028	
891.513	1038	
891.54	1026	
891.566	1036	
891.593	1038	
891.619	1034	
891.646	1030	
891.673	1034	
891.699	1038	
891.726	1032	
891.753	1042	
891.779	1030	
891.806	1038	
891.833	1040	
891.859	1038	
891.886	1036	
891.912	1032	
891.939	1028	
891.966	1034	
891.992	1032	
892.019	1028	
892.046	1040	
892.072	1030	
892.099	1036	
892.125	1040	
892.152	1038	
892.179	1032	
892.205	1036	
892.232	1036	
892.259	1036	
892.285	1034	
892.312	1040	
892.338	1032	
892.365	1040	
892.392	1034	
892.418	1032	
892.445	1036	
892.471	1030	
892.498	1034	
892.525	1034	
892.551	1040	
892.578	1038	
892.604	1038	
892.631	1038	
892.658	1030	
892.684	1036	
892.711	1032	
892.737	1038	
892.764	1034	
892.791	1038	
892.817	1028	
892.844	1036	
892.87	1036	
892.897	1034	
892.923	1032	
892.95	1036	
892.977	1038	
893.003	1038	
893.03	1032	
893.056	1032	
893.083	1036	
893.109	1030	
893.136	1030	
893.163	1030	
893.189	1044	
893.216	1038	
893.242	1036	
893.269	1038	
893.295	1028	
893.322	1042	
893.349	1038	
893.375	1042	
893.402	1044	
893.428	1040	
893.455	1036	
893.481	1034	
893.508	1040	
893.534	1038	
893.561	1030	
893.588	1040	
893.614	1038	
893.641	1034	
893.667	1040	
893.694	1034	
893.72	1036	
893.747	1030	
893.773	1036	
893.8	1034	
893.826	1036	
893.853	1040	
893.879	1034	
893.906	1032	
893.933	1040	
893.959	1038	
893.986	1036	
894.012	1032	
894.039	1036	
894.065	1036	
894.092	1030	
894.118	1030	
894.145	1036	
894.171	1034	
894.198	1036	
894.224	1036	
894.251	1032	
894.277	1026	
894.304	1030	
894.33	1030	
894.357	1042	
894.383	1034	
894.41	1046	
894.436	1034	
894.463	1034	
894.489	1030	
894.516	1042	
894.542	1040	
894.569	1034	
894.595	1036	
894.622	1032	
894.648	1030	
894.675	1032	
894.701	1036	
894.728	1040	
894.754	1032	
894.781	1040	
894.807	1034	
894.834	1036	
894.86	1038	
894.887	1042	
894.913	1042	
894.94	1046	
894.966	1038	
894.993	1042	
895.019	1042	
895.046	1044	
895.072	1044	
895.099	1036	
895.125	1040	
895.152	1040	
895.178	1030	
895.205	1044	
895.231	1044	
895.257	1034	
895.284	1040	
895.31	1040	
895.337	1036	
895.363	1036	
895.39	1032	
895.416	1032	
895.443	1034	
895.469	1034	
895.496	1034	
895.522	1038	
895.548	1034	
895.575	1038	
895.601	1036	
895.628	1040	
895.654	1036	
895.681	1030	
895.707	1032	
895.734	1040	
895.76	1038	
895.787	1034	
895.813	1036	
895.839	1032	
895.866	1040	
895.892	1038	
895.919	1038	
895.945	1036	
895.972	1040	
895.998	1036	
896.024	1036	
896.051	1038	
896.077	1042	
896.104	1038	
896.13	1038	
896.157	1038	
896.183	1044	
896.209	1040	
896.236	1042	
896.262	1048	
896.289	1034	
896.315	1034	
896.341	1042	
896.368	1040	
896.394	1042	
896.421	1040	
896.447	1040	
896.473	1046	
896.5	1040	
896.526	1036	
896.553	1040	
896.579	1036	
896.605	1038	
896.632	1038	
896.658	1042	
896.685	1046	
896.711	1042	
896.737	1044	
896.764	1038	
896.79	1036	
896.817	1046	
896.843	1042	
896.869	1042	
896.896	1038	
896.922	1036	
896.949	1036	
896.975	1050	
897.001	1046	
897.028	1034	
897.054	1048	
897.08	1044	
897.107	1036	
897.133	1048	
897.16	1042	
897.186	1048	
897.212	1048	
897.239	1040	
897.265	1044	
897.291	1040	
897.318	1040	
897.344	1046	
897.371	1040	
897.397	1040	
897.423	1038	
897.45	1052	
897.476	1042	
897.502	1050	
897.529	1052	
897.555	1050	
897.581	1040	
897.608	1046	
897.634	1040	
897.66	1050	
897.687	1052	
897.713	1038	
897.739	1042	
897.766	1042	
897.792	1042	
897.818	1044	
897.845	1040	
897.871	1050	
897.897	1040	
897.924	1042	
897.95	1040	
897.976	1040	
898.003	1036	
898.029	1040	
898.055	1044	
898.082	1038	
898.108	1042	
898.134	1042	
898.161	1042	
898.187	1048	
898.213	1038	
898.24	1044	
898.266	1050	
898.292	1042	
898.319	1048	
898.345	1042	
898.371	1038	
898.398	1042	
898.424	1040	
898.45	1044	
898.477	1042	
898.503	1044	
898.529	1046	
898.555	1044	
898.582	1052	
898.608	1040	
898.634	1038	
898.661	1056	
898.687	1046	
898.713	1052	
898.739	1034	
898.766	1040	
898.792	1036	
898.818	1040	
898.845	1046	
898.871	1034	
898.897	1040	
898.924	1044	
898.95	1042	
898.976	1036	
